"";"Ořezávání větví, motorovou pilou";"0.244"
"";"Osekávání větví sekerou, ručně";"0.314"
"";"Pletí zahrady";"0.209"
"";"Sázení sazenic";"0.279"
"";"Sázení stromů";"0.314"
"";"Sekání dřeva";"0.419"
"";"Sekání trávníku, obecně";"0.384"
"";"Sekání trávníku, při chůzi, ruční sekačkou";"0.419"
"";"Sekání trávníku, tlačení sekačky";"0.314"
"";"Sekání trávníku, traktůrkem na trávu";"0.174"
"";"Setí trávy, za chůze";"0.174"
"";"Úklid pracovního místa, sběr větví, věcí";"0.349"
"";"Úklid zahradního náčíní, za chůze";"0.209"
"";"Zahradničení - obecně";"0.349"
"";"Zahradničení s těžkými nástroji...";"0.419"
"";"Zalévání zahrady, stání nebo chůze";"0.105"
"Různé, odpočinek, zábava, koníčky";"";""
"";"Četba knihy, novin, vsedě";"0.091"
"";"Čtení, vestoje";"0.126"
"";"Hraní karet, stolních her";"0.105"
"";"Kreslení, kopírování, vestoje";"0.14"
"";"Mluvení, telefonování, vestoje";"0.126"
"";"Mluvení, telefonování, vsedě";"0.105"
"";"Psaní, práce na počítači, vsedě";"0.126"
"";"Různé aktivity při stání";"0.14"
"";"Společné rodinné aktivity, sezení, odopočinek, stravování...";"0.105"
"";"Studium, zahrnující učení, čtení, psaní";"0.126"
"";"Táboření (stání, chůze, sezení), lehké až střední aktivity";"0.209"
"";"Umění a řemeslo, vestoje, intenzivní úsilí";"0.244"
"";"Umění a řemeslo, vestoje, lehké úsilí";"0.126"
"";"Umění a řemeslo, vestoje, střední úsilí";"0.209"
"";"Umění a řemeslo, vsedě, lehké úsilí";"0.105"
"";"Umění a řemeslo, vsedě, střední úsilí";"0.14"
"Hra na hudební nástroje";"";""
"";"Akordeon";"0.126"
"";"Bicí";"0.279"
"";"Dechy";"0.14"
"";"Dirigent";"0.174"
"";"Flétna, vsedě";"0.14"
"";"Klasická kytara, vsedě";"0.14"
"";"Lesní roh";"0.14"
"";"Piáno a klavír";"0.174"
"";"Rocková kytara, vestoje";"0.209"
"";"Trombón";"0.244"
"";"Trumpeta";"0.174"
"";"Viola";"0.174"
"";"Violoncello";"0.14"
"Zaměstnání, povolání";"";""
"";"Aktivity vyž. chůzi, chůze ze schodů, nošení předmětů (12 - 22 kg)";"0.349"
"";"Aktivity vyž. chůzi, chůze ze schodů, nošení předmětů (22 - 32 kg)";"0.454"
"";"Aktivity vyž. chůzi, chůze ze schodů, nošení předmětů (32 - 45 kg)";"0.523"
"";"Aktivity vyž. chůzi, chůze ze schodů, nošení předmětů (více než 45 kg)";"0.593"
"";"Aktivity vyž. pomalou chůzi a nošení lehčích předmětů (do 10 kg)";"0.209"
"";"Aktivity vyž. rychlou chůzi (7 km/h) a nošení předmětů do 10 kg";"0.314"
"";"Aktivity vyž. střední chůzi (4-5 km/h), tlačení vozíčku";"0.279"
"";"Aktivity vyžadující - kancelářské práce - sezení, čtení, stání a mluvení";"0.14"
"";"Aktivity vyžadující chůzi, intenz. rychlá chůze, bez nošení čehokoli (více než 5km/h)";"0.279"
"";"Aktivity vyžadující chůzi, pomalá chůze, v kanceláři, laboratoři (pod 3km/h)";"0.14"
"";"Aktivity vyžadující chůzi, střední úsilí, bez nošení čehokoli (5 km / hod.)";"0.209"
"";"Aktivity vyžadující sezení - kancelář - porady, obecně";"0.105"
"";"Aktivity vyžadující sezení - práce v kanceláři, chem. laborant, opravář...";"0.105"
"";"Aktivity vyžadující stání - lehčí (barman, obchodník, kopírování...";"0.174"
"";"Aktivity vyžadující stání - lehčí/střední (shromažď., zvedání předmětů do 25 kg...)";"0.209"
"";"Aktivity vyžadující stání - těžší (zvedáníé předmětů nad 25 kg, kamenictví...)";"0.279"
"";"Dělník v ocelárně, frézování";"0.558"
"";"Dělník v ocelárně, kování";"0.384"
"";"Dělník v ocelárně, obecně";"0.558"
"";"Dělník v ocelárně, obsluha pece";"0.523"
