"name";"energy";"protein";"fat";"sacharid";"cholesterol";"vlaknina";"unit";"amount";"idgroup"
"Uherský";"2060";"25";"43";"0";"85";"0";"g";"100";"36"
"Vysočina";"1930";"19.3";"42.6";"0";"85";"0";"g";"100";"36"
"Paštiky a konzervy - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Ďábelské tousty";"1060";"10.5";"21.9";"3.4";"null";"0";"g";"100";"37"
"Krůtí paštika (Veselá pastýřka)";"1600";"12";"35";"9";"null";"0";"g";"100";"37"
"Luncheonmeat";"1290";"12.8";"26";"4.8";"null";"0";"g";"100";"37"
"Luncheonmeat drůbeží";"560";"8.9";"8.5";"5.1";"null";"0";"g";"100";"37"
"Pasta z uzeného masa (Hamé)";"1410";"11";"32";"2";"null";"0";"g";"100";"37"
"Paštika játrová";"1800";"12";"41";"1.5";"169";"0";"g";"100";"37"
"Paštika Majka (Hamé)";"860";"6.5";"19.6";"0.4";"null";"0";"g";"100";"37"
"Vepřové maso ve vl. šťávě";"1300";"14.1";"28.1";"0.1";"85";"0";"g";"100";"37"
"Zabijačkové výrobky - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Jelítka";"1240";"16.2";"19.7";"13.3";"97";"0";"g";"100";"38"
"Jitrnice";"1160";"14.6";"18.5";"12.8";"105";"0";"g";"100";"38"
"Tlačenka světlá";"1260";"13.7";"27.1";"0.7";"90";"0";"g";"100";"38"
"Tlačenka tmavá";"1330";"15.1";"28.5";"0.1";"115";"0";"g";"100";"38"
"Tlačenka drůbeží";"740";"17.9";"11.9";"0.1";"null";"0";"g";"100";"38"
"Klobásy. sekaná - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bavorská sekaná (Intergal)";"1190";"10";"40";"1";"null";"0";"g";"100";"39"
"Bílá klobása";"890";"11.2";"14.3";"9.8";"47";"0";"g";"100";"39"
"Čabajka";"2190";"22.7";"47.9";"0";"110";"0";"g";"100";"39"
"Krůtí trvanlivá klobása (Intergal)";"1600";"15";"35";"2";"null";"0";"g";"100";"39"
"Moravská klobása";"1160";"13.4";"23.8";"2";"null";"0";"g";"100";"39"
"Pečená masová sekaná (Ravy)";"580";"10";"15";"2";"null";"0";"g";"100";"39"
"Sekaná - průměr";"1110";"17.4";"18.8";"6.2";"65";"0";"g";"100";"39"
"Rostlinná masa - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Robi. Tomi";"520";"10";"1";"10";"0";"null";"g";"100";"40"
"Sójové v hodnotách po základní přípravě";"400";"13";"0.5";"7.5";"0";"6";"g";"100";"40"
"Sójové v suchém stavu";"1067";"13";"34.7";"20";"0";"9,2";"g";"100";"40"
"Tofu karbanátky (Sunfood)";"850";"14.2";"10.1";"13.8";"0";"null";"g";"100";"40"
"Pomazánky Sojalife (Racio) - průměr";"750";"2.5";"14.9";"8.5";"0";"null";"g";"100";"40"
"Mlýnsko-pekárenské výrobky";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Mouka. obilniny - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Amarant";"1550";"18";"8";"57";"0";"6.7";"g";"100";"42"
"Cornflakes";"1500";"7.2";"0.6";"79.7";"0";"4";"g";"100";"42"
"Jáhly";"1530";"10.2";"4.3";"68.2";"0";"null";"g";"100";"42"
"Mouka kukuřičná";"1370";"8.3";"2.8";"66.3";"0";"5.2";"g";"100";"42"
"Mouka pšeničná bílá";"1410";"9.8";"1.1";"70.7";"0";"4";"g";"100";"42"
"Mouka pšeničná celozrnná";"1310";"11.7";"2";"61";"0";"2.1";"g";"100";"42"
"Mouka rýžová";"1470";"6.7";"0.7";"78";"0";"1.4";"g";"100";"42"
"Mouka sójová tučná";"1880";"43.4";"20.3";"23.1";"0";"18";"g";"100";"42"
"Mouka žitná";"1340";"8.3";"1.3";"67.8";"0";"8";"g";"100";"42"
"Pohanka";"1480";"11";"3";"60";"0";"3.7";"g";"100";"42"
"Polenta";"1470";"8.8";"1.2";"75";"0";"5";"g";"100";"42"
"Pšeničná krupice";"1470";"8";"2";"73";"0";"7";"g";"100";"42"
"Pšeničné klíčky";"1310";"26.6";"9.2";"30.6";"0";"17";"g";"100";"42"
"Slazené snídaňové cereálie";"1600";"4.7";"0.5";"88";"0";"1.9";"g";"100";"42"
"Solamyl";"1350";"0.4";"0.1";"80";"0";"0.2";"g";"100";"42"
"Vločky ovesné";"1480";"11.7";"7.1";"59.8";"0";"5.5";"g";"100";"42"
"Vločky pšeničné";"1300";"11.5";"1.8";"61";"0";"10";"g";"100";"42"
"Vločky žitné";"1480";"7.3";"2";"75.2";"0";"10";"g";"100";"42"
"Chléb. pečivo - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bageta";"1150";"7.9";"0.7";"55.4";"0";"3";"g";"100";"43"
"Bílý rohlík. houska";"1050";"7.8";"1.4";"51.2";"0";"3";"g";"100";"43"
"Celozrnný chléb se slunečnicovými semínky";"1000";"8.8";"3.7";"42.1";"0";"8";"g";"100";"43"
"Graham";"830";"8.4";"1";"39.7";"0";"1.5";"g";"100";"43"
"Kyjevský chléb";"1020";"7.4";"1.1";"51";"0";"5.8";"g";"100";"43"
"Pita chléb";"1000";"7.4";"1.3";"48.5";"0";"2.8";"g";"100";"43"
"Pšeničný chléb bílý";"1000";"7.6";"1.2";"48.8";"0";"3.2";"g";"100";"43"
"Pšeničný chléb celozrnný";"860";"7.1";"0.9";"41.4";"0";"8.1";"g";"100";"43"
"Strouhanka";"1500";"10";"1";"79";"0";"null";"g";"100";"43"
"Toustový chléb bílý";"1090";"6.9";"4.4";"47.7";"0";"3.7";"g";"100";"43"
"Toustový chléb tmavý";"1010";"8.2";"2.8";"45";"0";"7.1";"g";"100";"43"
"Veka";"1190";"8.4";"1";"60";"0";"3";"g";"100";"43"
"Žitný chléb";"930";"6.4";"1";"46.3";"0";"6";"g";"100";"43"
"Křehký chléb. knäckebrot - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Chléb Kavli";"1380";"11";"2";"66";"0";"14";"g";"100";"44"
